AWAY,HOME,TIME,TV,TICKETS,LOCATION,ODDS_BY,DATE
George Washington,@  Saint Joseph's,7:00 PM,ESPN+,Tickets as low as $65,"Michael J. Hagan '85 Arena, Philadelphia, PA",,2026-02-04
Duquesne,@  George Mason,7:00 PM,ESPN+,Tickets as low as $11,"EagleBank Arena, Fairfax, VA",,2026-02-04
UTSA,@  South Florida,7:00 PM,ESPN+,Tickets as low as $10,"Yuengling Center, Tampa, FL",,2026-02-04
Tulsa,@  Florida Atlantic,7:00 PM,ESPN+,Tickets as low as $31,"Eleanor R. Baldwin Arena, Boca Raton, FL",,2026-02-04
Army,@  Colgate,7:00 PM,ESPN+,Tickets as low as $42,"Cotterell Court, Hamilton, NY",,2026-02-04
Winthrop,@  Radford,7:00 PM,ESPN+,,"The Dedmon Center, Radford, VA",,2026-02-04
Longwood,@  Gardner-Webb,7:00 PM,ESPN+,Tickets as low as $47,"Paul Porter Arena, Boiling Springs, NC",,2026-02-04
Charleston Southern,@  High Point,7:00 PM,ESPN+,Tickets as low as $54,"Qubein Center, High Point, NC",,2026-02-04
Butler,@  Providence,7:00 PM,,Tickets as low as $37,"Amica Mutual Pavilion, Providence, RI",,2026-02-04
Lehigh,@  Loyola Maryland,7:00 PM,ESPN+,,"Reitz Arena, Baltimore, MD",,2026-02-04
Navy,@  Lafayette,7:00 PM,ESPN+,Tickets as low as $63,"Kirby Sports Center, Easton, PA",,2026-02-04
St. Thomas-Minnesota,@  South Dakota State,7:00 PM,,Tickets as low as $26,"First Bank & Trust Arena, Brookings, SD",,2026-02-04
Youngstown State,@  Purdue Fort Wayne,7:00 PM,ESPN+,Tickets as low as $14,"Memorial Coliseum (IN), Fort Wayne, IN",,2026-02-04
Oakland,@  Cleveland State,7:00 PM,ESPN+,Tickets as low as $25,"Wolstein Center, Cleveland, OH",,2026-02-04
Wright State,@  Robert Morris,7:00 PM,ESPN+,Tickets as low as $10,"UPMC Events Center, Moon Township, PA",,2026-02-04
Green Bay,@  Northern Kentucky,7:00 PM,ESPN+,Tickets as low as $29,"Truist Arena, Highland Heights, KY",,2026-02-04
Western Carolina,@  UNC Greensboro,7:00 PM,ESPN+,Tickets as low as $46,"First Horizon Coliseum, Greensboro, NC",,2026-02-04
UL Monroe,@  Old Dominion,7:00 PM,ESPN+,Tickets as low as $54,"Chartway Arena, Norfolk, VA",,2026-02-04
Southern Miss,@  Marshall,7:00 PM,ESPN+,Tickets as low as $49,"Cam Henderson Center, Huntington, WV",,2026-02-04
Troy,@  Georgia State,7:00 PM,ESPN+,,"GSU Convocation Center, Atlanta, GA",,2026-02-04
Texas State,@  Georgia Southern,7:00 PM,ESPN+,Tickets as low as $48,"Jack and Ruth Ann Hill Convocation Center, Statesboro, GA",,2026-02-04
Arkansas State,@  Coastal Carolina,7:00 PM,ESPN+,Tickets as low as $38,"The HTC Center, Conway, SC",,2026-02-04
Liberty,@  Delaware,7:00 PM,ESPN+,Tickets as low as $16,"Bob Carpenter Center, Newark, DE",,2026-02-04
23 Creighton,@  Georgetown,7:30 PM,,Tickets as low as $35,"Capital One Arena, Washington, DC",,2026-02-04
Charlotte,@  Wichita State,7:30 PM,ESPN+,Tickets as low as $64,"Charles Koch Arena, Wichita, KS",,2026-02-04
North Alabama,@  Central Arkansas,7:30 PM,,Tickets as low as $30,"Farris Center, Conway, AR",,2026-02-04
Florida International,@  Middle Tennessee,7:30 PM,ESPN+,Tickets as low as $25,"Murphy Center, Murfreesboro, TN",,2026-02-04
UTEP,@  Sam Houston,7:30 PM,ESPN+,,"Bernard G. Johnson Coliseum, Huntsville, TX",,2026-02-04
New Mexico State,@  Louisiana Tech,7:30 PM,ESPN+,Tickets as low as $18,"Thomas Assembly Center, Ruston, LA",,2026-02-04
North Texas,@  Rice,8:00 PM,ESPN+,Tickets as low as $43,"Tudor Fieldhouse, Houston, TX",,2026-02-04
Colorado,@  Baylor,8:00 PM,Peacock,Tickets as low as $31,"Foster Pavilion, Waco, TX",,2026-02-04
Georgia Tech,@  California,8:00 PM,ACC Network,Tickets as low as $48,"Haas Pavilion, Berkeley, CA",,2026-02-04
South Dakota,@  Kansas City,8:00 PM,,,"Swinney Center, Kansas City, MO",,2026-02-04
Detroit Mercy,@  Milwaukee,8:00 PM,ESPN+,Tickets as low as $72,"UW-Milwaukee Panther Arena, Milwaukee, WI",,2026-02-04
Lipscomb,@  Austin Peay,8:00 PM,ESPN+,Tickets as low as $29,"F&M Bank Arena, Clarksville, TN",,2026-02-04
8 BYU,@  Oklahoma State,9:00 PM,FS1,Tickets as low as $49,"Gallagher-Iba Arena, Stillwater, OK",,2026-02-04
Oklahoma,@  9 Kentucky,9:00 PM,ESPN2,Tickets as low as $80,"Rupp Arena, Lexington, KY",,2026-02-04
Northwestern,@  17 Illinois,9:00 PM,,Tickets as low as $58,"State Farm Center, Champaign, IL",,2026-02-04
Arizona State,@  Utah,9:00 PM,CBSSN,Tickets as low as $22,"Jon M. Huntsman Center, Salt Lake City, UT",,2026-02-04
21 Gonzaga,@  Portland,10:00 PM,,Tickets as low as $87,"Chiles Center, Portland, OR",,2026-02-04
Santa Clara,@  Pacific,10:00 PM,,,"Alex G. Spanos Center, Stockton, CA",,2026-02-04
San Diego,@  Saint Mary's,10:00 PM,,Tickets as low as $47,"University Credit Union Pavilion, Moraga, CA",,2026-02-04
Pepperdine,@  Seattle U,10:00 PM,,,"Redhawk Center, Seattle, WA",,2026-02-04
Loyola Marymount,@  San Francisco,10:00 PM,,Tickets as low as $48,"The Sobrato Center, San Francisco, CA",,2026-02-04
Clemson,@  Stanford,10:00 PM,ACC Network,Tickets as low as $18,"Maples Pavilion, Stanford, CA",,2026-02-04
Utah State,@  New Mexico,11:00 PM,,Tickets as low as $42,"The Pit, Albuquerque, NM",,2026-02-04
Washington State,@  Oregon State,11:00 PM,CBSSN,Tickets as low as $43,"Gill Coliseum, Corvallis, OR",,2026-02-04
Iowa,@  Washington,11:00 PM,,Tickets as low as $41,"Alaska Airlines Arena, Seattle, WA",,2026-02-04
Vermont,@  Maine,6:00 PM,ESPN+,Tickets as low as $44,"Skip Chappelle Court in Memorial Gymnasium, Orono, ME",,2026-02-05
Binghamton,@  UMBC,6:00 PM,ESPN+,Tickets as low as $32,"Chesapeake Employers Insurance Arena, Baltimore, MD",,2026-02-05
UAlbany,@  Bryant,6:00 PM,ESPN+,Tickets as low as $34,"Chace Athletic Center, Smithfield, RI",,2026-02-05
Penn State,@  7 Michigan,6:30 PM,FS1,Tickets as low as $13,"Crisler Center, Ann Arbor, MI",,2026-02-05
West Virginia,@  Cincinnati,7:00 PM,ESPN2,Tickets as low as $19,"Fifth Third Arena, Cincinnati, OH",,2026-02-05
Fairfield,@  Sacred Heart,7:00 PM,ESPN+,Tickets as low as $20,"William H. Pitt Center, Fairfield, CT",,2026-02-05
Iona,@  Siena,7:00 PM,ESPN+,Tickets as low as $29,"MVP Arena, Albany, NY",,2026-02-05
Merrimack,@  Mount St. Mary's,7:00 PM,ESPN+,Tickets as low as $50,"Knott Arena, Emmitsburg, MD",,2026-02-05
Canisius,@  Quinnipiac,7:00 PM,ESPN+,Tickets as low as $31,"M&T Bank Arena, Hamden, CT",,2026-02-05
Rider,@  Marist,7:00 PM,ESPN+,Tickets as low as $45,"McCann Arena, Poughkeepsie, NY",,2026-02-05
Saint Peter's,@  Manhattan,7:00 PM,ESPN+,Tickets as low as $42,"Draddy Gymnasium, Riverdale, NY",,2026-02-05
Chicago State,@  Central Connecticut,7:00 PM,,,"Detrick Gymnasium, New Britain, CT",,2026-02-05
Saint Francis,@  Mercyhurst,7:00 PM,,,"Mercyhurst Athletic Center, Erie, PA",,2026-02-05
New Haven,@  Long Island University,7:00 PM,,,"Steinberg Wellness Center, Brooklyn, NY",,2026-02-05
Le Moyne,@  Wagner,7:00 PM,,Tickets as low as $34,"Spiro Sports Center, Staten Island, NY",,2026-02-05
Stonehill,@  Fairleigh Dickinson,7:00 PM,,,"Bogota Savings Bank Center, Hackensack, NJ",,2026-02-05
UMass Lowell,@  NJIT,7:00 PM,ESPN+,Tickets as low as $47,"Joel & Diane Bloom Wellness and Events Center, Newark, NJ",,2026-02-05
Northeastern,@  Hofstra,7:00 PM,,Tickets as low as $40,"David S. Mack Sports and Exhibition Complex, Hempstead, NY",,2026-02-05
Monmouth,@  Stony Brook,7:00 PM,,Tickets as low as $18,"Stony Brook Arena, Stony Brook, NY",,2026-02-05
Drexel,@  Campbell,7:00 PM,,Tickets as low as $28,"John W. Pope Jr. Convocation Center, Buies Creek, NC",,2026-02-05
William & Mary,@  UNC Wilmington,7:00 PM,CBSSN,Tickets as low as $19,"Trask Coliseum, Wilmington, NC",,2026-02-05
North Carolina A&T,@  Charleston,7:00 PM,,Tickets as low as $36,"TD Arena, Charleston, SC",,2026-02-05
Elon,@  Hampton,7:00 PM,,,"Convocation Center (VA), Hampton, VA",,2026-02-05
Mercer,@  Chattanooga,7:00 PM,ESPN+,Tickets as low as $49,"McKenzie Arena, Chattanooga, TN",,2026-02-05
Stetson,@  Bellarmine,7:00 PM,ESPN+,Tickets as low as $55,"Knights Hall, Louisville, KY",,2026-02-05
North Florida,@  West Georgia,7:00 PM,ESPN+,Tickets as low as $53,"The Coliseum, Carrollton, GA",,2026-02-05
Jacksonville,@  Queens University,7:00 PM,ESPN+,Tickets as low as $29,"Curry Arena, Charlotte, NC",,2026-02-05
Florida Gulf Coast,@  Eastern Kentucky,7:00 PM,ESPN+,Tickets as low as $56,"Baptist Health Arena, Richmond, KY",,2026-02-05
Denver,@  North Dakota State,8:00 PM,,Tickets as low as $30,"Scheels Center, Fargo, ND",,2026-02-05
Omaha,@  North Dakota,8:00 PM,,Tickets as low as $29,"Betty Engelstad Sioux Center, Grand Forks, ND",,2026-02-05
The Citadel,@  Samford,8:00 PM,ESPN+,Tickets as low as $27,"Pete Hanna Center, Homewood, AL",,2026-02-05
Lindenwood,@  Little Rock,8:00 PM,ESPN+,Tickets as low as $34,"Jack Stephens Center, Little Rock, AR",,2026-02-05
Abilene Christian,@  Utah Valley,8:00 PM,ESPN+,Tickets as low as $28,"UCCU Center, Orem, UT",,2026-02-05
Ohio State,@  Maryland,8:30 PM,,Tickets as low as $23,"XFINITY Center, College Park, MD",,2026-02-05
Western Illinois,@  Tennessee Tech,8:30 PM,ESPN+,,"Hooper Eblen Center, Cookeville, TN",,2026-02-05
Southern Indiana,@  UT Martin,8:30 PM,ESPN+,,"Kathleen and Tom Elam Center, Martin, TN",,2026-02-05
Morehead State,@  Southeast Missouri State,8:30 PM,ESPN+,Tickets as low as $54,"Show Me Center, Cape Girardeau, MO",,2026-02-05
Eastern Illinois,@  Tennessee State,8:30 PM,ESPN+,,"Gentry Center, Nashville, TN",,2026-02-05
Memphis,@  UAB,9:00 PM,ESPN2,Tickets as low as $47,"Bartow Arena, Birmingham, AL",,2026-02-05
UC Santa Barbara,@  UC Davis,9:00 PM,ESPN+,Tickets as low as $20,"University Credit Union Center, Davis, CA",,2026-02-05
Northern Colorado,@  Weber State,9:00 PM,ESPN+,Tickets as low as $48,"Dee Events Center, Ogden, UT",,2026-02-05
Northern Arizona,@  Idaho State,9:00 PM,ESPN+,Tickets as low as $50,"Reed Gym, Pocatello, ID",,2026-02-05
Idaho,@  Montana State,9:00 PM,ESPN+,Tickets as low as $47,"Worthington Arena, Bozeman, MT",,2026-02-05
Eastern Washington,@  Montana,9:00 PM,ESPN+,Tickets as low as $40,"Dahlberg Arena, Missoula, MT",,2026-02-05
UT Arlington,@  Utah Tech,9:00 PM,ESPN+,,"Burns Arena, St. George, UT",,2026-02-05
Jacksonville State,@  Western Kentucky,9:00 PM,,Tickets as low as $19,"E.A. Diddle Arena, Bowling Green, KY",,2026-02-05
UC Riverside,@  Cal State Fullerton,10:00 PM,ESPN+,,"Titan Gym, Fullerton, CA",,2026-02-05
Cal State Northridge,@  Cal Poly,10:00 PM,ESPN+,Tickets as low as $47,"Mott Athletics Center, San Luis Obispo, CA",,2026-02-05
Cal State Bakersfield,@  UC Irvine,10:00 PM,ESPN+,Tickets as low as $47,"Bren Events Center, Irvine, CA",,2026-02-05
Long Beach State,@  UC San Diego,10:00 PM,ESPN+,Tickets as low as $27,"LionTree Arena, San Diego, CA",,2026-02-05
Tarleton State,@  California Baptist,10:00 PM,ESPN+,Tickets as low as $44,"Dale E. and Sarah Ann Fowler Events Center, Riverside, CA",,2026-02-05
Evansville,@  Valparaiso,TBD,ESPN+,Tickets as low as $66,"Athletics-Recreation Center, Valparaiso, IN",,2026-02-06
Murray State,@  Southern Illinois,TBD,ESPN+,,"Banterra Center, Carbondale, IL",,2026-02-06
Drake,@  Illinois State,TBD,ESPN+,Tickets as low as $41,"CEFCU Arena, Normal, IL",,2026-02-06
Bradley,@  Northern Iowa,TBD,ESPN+,Tickets as low as $26,"McLeod Center, Cedar Falls, IA",,2026-02-06
Loyola Chicago,@  Davidson,6:00 PM,,Tickets as low as $39,"John M. Belk Arena, Davidson, NC",,2026-02-06
Dayton,@  VCU,7:00 PM,ESPN2,Tickets as low as $49,"Siegel Center, Richmond, VA",,2026-02-06
Brown,@  Yale,7:00 PM,ESPN+,Tickets as low as $59,"John J. Lee Amphitheater, New Haven, CT",,2026-02-06
4 UConn,@  5 St. John's,8:00 PM,,Tickets as low as $117,"Madison Square Garden, New York, NY",,2026-02-06
Belmont,@  UIC,8:00 PM,ESPN+,Tickets as low as $31,"Credit Union 1 Arena, Chicago, IL",,2026-02-06
14 Arkansas,@  Mississippi State,TBD,,Tickets as low as $95,"Humphrey Coliseum, Starkville, MS",,2026-02-07
15 Alabama,@  20 Auburn,TBD,,Tickets as low as $476,"Neville Arena, Auburn, AL",,2026-02-07
Alcorn State,@  Arkansas-Pine Bluff,TBD,,,"H.O. Clemmons Arena, Pine Bluff, AR",,2026-02-07
Texas Southern,@  Florida A&M,TBD,,,"Al Lawson Center, Tallahassee, FL",,2026-02-07
San José State,@  Colorado State,TBD,,Tickets as low as $54,"Moby Arena, Fort Collins, CO",,2026-02-07
Santa Clara,@  Washington State,TBD,,Tickets as low as $24,"Beasley Coliseum, Pullman, WA",,2026-02-07
North Carolina Central,@  Norfolk State,TBD,,,"Joseph G. Echols Hall, Norfolk, VA",,2026-02-07
Alabama A&M,@  Southern,TBD,,,"F.G. Clark Activity Center, Baton Rouge, LA",,2026-02-07
Omaha,@  North Dakota State,TBD,,Tickets as low as $30,"Scheels Center, Fargo, ND",,2026-02-07
Harvard,@  Dartmouth,TBD,ESPN+,Tickets as low as $44,"Leede Arena, Hanover, NH",,2026-02-07
Ole Miss,@  Texas,TBD,,Tickets as low as $78,"Moody Center, Austin, TX",,2026-02-07
11 Louisville,@  Wake Forest,12:00 PM,ACC Network,Tickets as low as $34,"LJVM Coliseum, Winston-Salem, NC",,2026-02-07
24 Wisconsin,@  Indiana,12:00 PM,,Tickets as low as $92,"Simon Skjodt Assembly Hall, Bloomington, IN",,2026-02-07
Temple,@  East Carolina,12:00 PM,ESPNU,Tickets as low as $54,"Minges Coliseum, Greenville, NC",,2026-02-07
Lafayette,@  Army,12:00 PM,ESPN+,Tickets as low as $63,"Christl Arena, West Point, NY",,2026-02-07
Nebraska,@  Rutgers,12:00 PM,BTN,Tickets as low as $27,"Jersey Mike’s Arena, Piscataway, NJ",,2026-02-07
Villanova,@  Georgetown,12:00 PM,,Tickets as low as $59,"Capital One Arena, Washington, DC",,2026-02-07
Syracuse,@  Virginia,12:00 PM,,Tickets as low as $31,"John Paul Jones Arena, Charlottesville, VA",,2026-02-07
Drexel,@  Elon,12:00 PM,CBSSN,,"Schar Center, Elon, NC",,2026-02-07
Oregon,@  1 Purdue,1:00 PM,,Tickets as low as $240,"Mackey Arena, West Lafayette, IN",,2026-02-07
Chicago State,@  New Haven,1:00 PM,,,"Jeffery P. Hazell Athletics Center, West Haven, CT",,2026-02-07
Loyola Maryland,@  Boston University,1:00 PM,ESPN+,Tickets as low as $23,"Case Gym, Boston, MA",,2026-02-07
Wagner,@  Central Connecticut,1:00 PM,,,"Detrick Gymnasium, New Britain, CT",,2026-02-07
Saint Francis,@  Le Moyne,1:00 PM,,,"Ted Grant Court, Syracuse, NY",,2026-02-07
Missouri,@  South Carolina,1:00 PM,SEC Network,Tickets as low as $27,"Colonial Life Arena, Columbia, SC",,2026-02-07
Middle Tennessee,@  Delaware,1:00 PM,ESPN+,Tickets as low as $16,"Bob Carpenter Center, Newark, DE",,2026-02-07
Virginia Tech,@  NC State,1:30 PM,,Tickets as low as $35,"Lenovo Center, Raleigh, NC",,2026-02-07
Baylor,@  16 Iowa State,2:00 PM,,Tickets as low as $118,"Hilton Coliseum, Ames, IA",,2026-02-07
Richmond,@  Rhode Island,2:00 PM,ESPN+,Tickets as low as $23,"Thomas M. Ryan Center, Kingston, RI",,2026-02-07
George Washington,@  Duquesne,2:00 PM,ESPN+,Tickets as low as $31,"UPMC Cooper Fieldhouse, Pittsburgh, PA",,2026-02-07
St. Bonaventure,@  Fordham,2:00 PM,ESPN+,Tickets as low as $32,"Rose Hill Gym, Bronx, NY",,2026-02-07
North Texas,@  UTSA,2:00 PM,ESPN+,Tickets as low as $54,"UTSA Convocation Center, San Antonio, TX",,2026-02-07
Kansas State,@  TCU,2:00 PM,ESPN2,Tickets as low as $40,"Schollmaier Arena, Fort Worth, TX",,2026-02-07
Lehigh,@  Holy Cross,2:00 PM,ESPN+,,"Hart Center, Worcester, MA",,2026-02-07
Longwood,@  Winthrop,2:00 PM,ESPN+,Tickets as low as $41,"Winthrop Coliseum, Rock Hill, SC",,2026-02-07
Gardner-Webb,@  Presbyterian,2:00 PM,ESPN+,Tickets as low as $47,"Templeton Center, Clinton, SC",,2026-02-07
Charleston Southern,@  South Carolina Upstate,2:00 PM,ESPN+,,"G.B. Hodge Center, Spartanburg, SC",,2026-02-07
Butler,@  Marquette,2:00 PM,,Tickets as low as $85,"Fiserv Forum, Milwaukee, WI",,2026-02-07
Miami,@  Boston College,2:00 PM,ACC Network,Tickets as low as $17,"Conte Forum, Chestnut Hill, MA",,2026-02-07
Cornell,@  Columbia,2:00 PM,ESPN+,Tickets as low as $29,"Levien Gymnasium, New York, NY",,2026-02-07
Denver,@  North Dakota,2:00 PM,,Tickets as low as $29,"Betty Engelstad Sioux Center, Grand Forks, ND",,2026-02-07
Cleveland State,@  IU Indianapolis,2:00 PM,ESPN+,Tickets as low as $32,"The Jungle, Indianapolis, IN",,2026-02-07
Detroit Mercy,@  Green Bay,2:00 PM,ESPN+,,"Resch Center, Ashwaubenon, WI",,2026-02-07
Siena,@  Saint Peter's,2:00 PM,ESPN+,,"Yanitelli Center, Jersey City, NJ",,2026-02-07
Niagara,@  Quinnipiac,2:00 PM,ESPN+,Tickets as low as $55,"M&T Bank Arena, Hamden, CT",,2026-02-07
Sacred Heart,@  Manhattan,2:00 PM,ESPN+,Tickets as low as $42,"Draddy Gymnasium, Riverdale, NY",,2026-02-07
Princeton,@  Pennsylvania,2:00 PM,ESPNU,,"The Palestra, Philadelphia, PA",,2026-02-07
New Hampshire,@  Vermont,2:00 PM,ESPN+,Tickets as low as $27,"Patrick Gymnasium, Burlington, VT",,2026-02-07
Campbell,@  North Carolina A&T,2:00 PM,,,"Corbett Sports Center, Greensboro, NC",,2026-02-07
The Citadel,@  Chattanooga,2:00 PM,ESPN+,Tickets as low as $58,"McKenzie Arena, Chattanooga, TN",,2026-02-07
Jacksonville,@  West Georgia,2:00 PM,ESPN+,Tickets as low as $53,"The Coliseum, Carrollton, GA",,2026-02-07
Florida Gulf Coast,@  Bellarmine,2:00 PM,ESPN+,Tickets as low as $55,"Knights Hall, Louisville, KY",,2026-02-07
Missouri State,@  Liberty,2:00 PM,CBSSN,Tickets as low as $41,"Liberty Arena (VA), Lynchburg, VA",,2026-02-07
Utah,@  19 Kansas,2:30 PM,FOX,Tickets as low as $110,"Allen Fieldhouse, Lawrence, KS",,2026-02-07
William & Mary,@  Hampton,2:30 PM,,,"Convocation Center (VA), Hampton, VA",,2026-02-07
La Salle,@  Saint Louis,3:00 PM,ESPN+,Tickets as low as $12,"Chaifetz Arena, St. Louis, MO",,2026-02-07
North Florida,@  Queens University,3:00 PM,ESPN+,,"Curry Arena, Charlotte, NC",,2026-02-07
Florida International,@  Western Kentucky,3:00 PM,ESPN+,Tickets as low as $24,"E.A. Diddle Arena, Bowling Green, KY",,2026-02-07
Sam Houston,@  Louisiana Tech,3:00 PM,ESPN+,Tickets as low as $19,"Thomas Assembly Center, Ruston, LA",,2026-02-07
Mercyhurst,@  Fairleigh Dickinson,3:30 PM,,,"Bogota Savings Bank Center, Hackensack, NJ",,2026-02-07
Oklahoma,@  Vanderbilt,3:30 PM,SEC Network,Tickets as low as $33,"Memorial Gymnasium (TN), Nashville, TN",,2026-02-07
SMU,@  Pittsburgh,3:45 PM,,Tickets as low as $74,"Petersen Events Center, Pittsburgh, PA",,2026-02-07
Oklahoma State,@  13 Arizona,4:00 PM,,Tickets as low as $39,"McKale Memorial Center, Tucson, AZ",,2026-02-07
Saint Joseph's,@  George Mason,4:00 PM,ESPN+,Tickets as low as $13,"EagleBank Arena, Fairfax, VA",,2026-02-07
UC Riverside,@  Cal State Northridge,4:00 PM,ESPN+,Tickets as low as $45,"Premier America Credit Union Arena, Northridge, CA",,2026-02-07
Maryland Eastern Shore,@  Morgan State,4:00 PM,,Tickets as low as $58,"Hill Field House, Baltimore, MD",,2026-02-07
DePaul,@  Providence,4:00 PM,,Tickets as low as $71,"Amica Mutual Pavilion, Providence, RI",,2026-02-07
Florida State,@  Notre Dame,4:00 PM,ACC Network,Tickets as low as $35,"Purcell Pavilion, South Bend, IN",,2026-02-07
American University,@  Navy,4:00 PM,ESPN+,Tickets as low as $117,"Alumni Hall (Navy), Annapolis, MD",,2026-02-07
Stonehill,@  Long Island University,4:00 PM,,,"Steinberg Wellness Center, Brooklyn, NY",,2026-02-07
Maine,@  Bryant,4:00 PM,ESPN+,Tickets as low as $34,"Chace Athletic Center, Smithfield, RI",,2026-02-07
Binghamton,@  NJIT,4:00 PM,ESPN+,Tickets as low as $47,"Joel & Diane Bloom Wellness and Events Center, Newark, NJ",,2026-02-07
Towson,@  Hofstra,4:00 PM,CBSSN,Tickets as low as $40,"David S. Mack Sports and Exhibition Complex, Hempstead, NY",,2026-02-07
Northeastern,@  Stony Brook,4:00 PM,,Tickets as low as $19,"Stony Brook Arena, Stony Brook, NY",,2026-02-07
Western Carolina,@  Wofford,4:00 PM,ESPN+,Tickets as low as $48,"Jerry Richardson Indoor Stadium, Spartanburg, SC",,2026-02-07
Texas A&M-Corpus Christi,@  Nicholls,4:00 PM,ESPN+,Tickets as low as $46,"David R. Stopher Gymnasium, Thibodaux, LA",,2026-02-07
SIU Edwardsville,@  Little Rock,4:00 PM,ESPN+,Tickets as low as $34,"Jack Stephens Center, Little Rock, AR",,2026-02-07
Eastern Illinois,@  Tennessee Tech,4:00 PM,ESPN+,,"Hooper Eblen Center, Cookeville, TN",,2026-02-07
UT Arlington,@  Utah Valley,4:00 PM,ESPN+,Tickets as low as $28,"UCCU Center, Orem, UT",,2026-02-07
Grand Canyon,@  UNLV,4:30 PM,,Tickets as low as $31,"Thomas & Mack Center, Las Vegas, NV",,2026-02-07
Delaware State,@  Coppin State,4:30 PM,ESPN+,,"Physical Education Complex, Baltimore, MD",,2026-02-07
Robert Morris,@  Youngstown State,4:30 PM,ESPN+,Tickets as low as $35,"Beeghly Center, Youngstown, OH",,2026-02-07
Houston Christian,@  SE Louisiana,4:30 PM,ESPN+,Tickets as low as $14,"University Center, Hammond, LA",,2026-02-07
Western Illinois,@  Tennessee State,4:30 PM,ESPN+,,"Gentry Center, Nashville, TN",,2026-02-07
Morehead State,@  UT Martin,4:30 PM,ESPN+,,"Kathleen and Tom Elam Center, Martin, TN",,2026-02-07
Southern Indiana,@  Southeast Missouri State,4:45 PM,ESPN+,Tickets as low as $54,"Show Me Center, Cape Girardeau, MO",,2026-02-07
Colgate,@  Bucknell,5:00 PM,ESPN+,,"Sojka Pavilion, Lewisburg, PA",,2026-02-07
Alabama State,@  Grambling,5:00 PM,,,"Fredrick C. Hobdy Assembly Center, Grambling, LA",,2026-02-07
Milwaukee,@  Northern Kentucky,5:00 PM,ESPN+,Tickets as low as $29,"Truist Arena, Highland Heights, KY",,2026-02-07
Cal Poly,@  UC Davis,5:00 PM,ESPN+,Tickets as low as $20,"University Credit Union Center, Davis, CA",,2026-02-07
Incarnate Word,@  McNeese,5:00 PM,ESPN+,Tickets as low as $54,"Townsley Law Arena, Lake Charles, LA",,2026-02-07
Stetson,@  Eastern Kentucky,5:00 PM,ESPN+,Tickets as low as $55,"Baptist Health Arena, Richmond, KY",,2026-02-07
North Alabama,@  Austin Peay,5:00 PM,ESPN+,Tickets as low as $25,"F&M Bank Arena, Clarksville, TN",,2026-02-07
Central Arkansas,@  Lipscomb,5:00 PM,ESPN+,Tickets as low as $34,"Allen Arena, Nashville, TN",,2026-02-07
Kennesaw State,@  Jacksonville State,5:00 PM,ESPN+,Tickets as low as $47,"Pete Mathews Coliseum, Jacksonville, AL",,2026-02-07
Prairie View A&M,@  Bethune-Cookman,5:30 PM,,Tickets as low as $53,"Moore Gymnasium (FL), Daytona Beach, FL",,2026-02-07
21 Gonzaga,@  Oregon State,6:00 PM,,Tickets as low as $86,"Gill Coliseum, Corvallis, OR",,2026-02-07
Seton Hall,@  23 Creighton,6:00 PM,,Tickets as low as $39,"CHI Health Center Omaha, Omaha, NE",,2026-02-07
Jackson State,@  Mississippi Valley State,6:00 PM,,,"R.W. Harrison HPER Complex, Itta Bena, MS",,2026-02-07
South Dakota,@  South Dakota State,6:00 PM,,Tickets as low as $65,"First Bank & Trust Arena, Brookings, SD",,2026-02-07
Mercer,@  Samford,6:00 PM,ESPN+,Tickets as low as $28,"Pete Hanna Center, Homewood, AL",,2026-02-07
Lamar,@  Stephen F. Austin,6:00 PM,ESPN+,Tickets as low as $48,"William R. Johnson Coliseum, Nacogdoches, TX",,2026-02-07
UT Rio Grande Valley,@  New Orleans,6:00 PM,ESPN+,Tickets as low as $48,"Lakefront Arena, New Orleans, LA",,2026-02-07
Northwestern State,@  East Texas A&M,6:00 PM,ESPN+,,"The Field House, Commerce, TX",,2026-02-07
Northern Colorado,@  Idaho State,6:00 PM,ESPN+,Tickets as low as $50,"Reed Gym, Pocatello, ID",,2026-02-07
Idaho,@  Montana,6:00 PM,ESPN+,Tickets as low as $42,"Dahlberg Arena, Missoula, MT",,2026-02-07
Georgia,@  LSU,6:00 PM,SEC Network,Tickets as low as $24,"Pete Maravich Assembly Center, Baton Rouge, LA",,2026-02-07
6 Duke,@  25 North Carolina,6:30 PM,ESPN,Tickets as low as $659,"Dean E. Smith Center, Chapel Hill, NC",,2026-02-07
South Carolina State,@  Howard,7:00 PM,ESPN+,,"Burr Gymnasium, Washington, DC",,2026-02-07
Radford,@  High Point,7:00 PM,ESPN+,Tickets as low as $58,"Qubein Center, High Point, NC",,2026-02-07
Merrimack,@  Rider,7:00 PM,ESPN+,Tickets as low as $54,"Alumni Gymnasium (Rider), Lawrenceville, NJ",,2026-02-07
Cal State Bakersfield,@  Cal State Fullerton,7:00 PM,ESPN+,,"Titan Gym, Fullerton, CA",,2026-02-07
Purdue Fort Wayne,@  Wright State,7:00 PM,ESPN+,Tickets as low as $24,"Nutter Center, Dayton, OH",,2026-02-07
Mount St. Mary's,@  Iona,7:00 PM,ESPN+,Tickets as low as $41,"Hynes Athletics Center, New Rochelle, NY",,2026-02-07
Marist,@  Fairfield,7:00 PM,ESPN+,Tickets as low as $52,"Leo D. Mahoney Arena, Fairfield, CT",,2026-02-07
